,bus,Pmax,Pmin,c2,c1,c0
1,1,20.0,16.0,0.0,130.0,400.6849
2,1,20.0,16.0,0.0,130.0,400.6849
3,1,76.0,15.2,0.014142,16.0811,212.3076
4,1,76.0,15.2,0.014142,16.0811,212.3076
5,2,20.0,16.0,0.0,130.0,400.6849
6,2,20.0,16.0,0.0,130.0,400.6849
7,2,76.0,15.2,0.014142,16.0811,212.3076
8,2,76.0,15.2,0.014142,16.0811,212.3076
9,7,100.0,25.0,0.052672,43.6615,781.521
10,7,100.0,25.0,0.052672,43.6615,781.521
11,7,100.0,25.0,0.052672,43.6615,781.521
12,13,197.0,69.0,0.00717,48.5804,832.7575
13,13,197.0,69.0,0.00717,48.5804,832.7575
14,13,197.0,69.0,0.00717,48.5804,832.7575
15,15,12.0,2.4,0.328412,56.564,86.3852
16,15,12.0,2.4,0.328412,56.564,86.3852
17,15,12.0,2.4,0.328412,56.564,86.3852
18,15,12.0,2.4,0.328412,56.564,86.3852
19,15,12.0,2.4,0.328412,56.564,86.3852
20,15,155.0,54.3,0.008342,12.3883,382.2391
21,16,155.0,54.3,0.008342,12.3883,382.2391
22,18,400.0,100.0,0.000213,4.4231,395.3749
23,21,400.0,100.0,0.000213,4.4231,395.3749
24,22,50.0,10.0,0.0,0.001,0.001
25,22,50.0,10.0,0.0,0.001,0.001
26,22,50.0,10.0,0.0,0.001,0.001
27,22,50.0,10.0,0.0,0.001,0.001
28,22,50.0,10.0,0.0,0.001,0.001
29,22,50.0,10.0,0.0,0.001,0.001
30,23,155.0,54.3,0.008342,12.3883,382.2391
31,23,155.0,54.3,0.008342,12.3883,382.2391
32,23,350.0,140.0,0.004895,11.8495,665.1094
