,from,to,x,Pmax,Suscep
1,1,2,0.013999999999999999,175.0,71.42857142857143
2,1,3,0.21100000000000002,175.0,4.7393364928909945
3,1,5,0.085,175.0,11.76470588235294
4,2,4,0.127,175.0,7.874015748031496
5,2,6,0.192,175.0,5.208333333333333
6,3,9,0.11900000000000001,175.0,8.403361344537814
7,3,24,0.084,400.0,11.904761904761903
8,4,9,0.10400000000000001,175.0,9.615384615384615
9,5,10,0.08800000000000001,175.0,11.363636363636363
10,6,10,0.061,175.0,16.39344262295082
11,7,8,0.061,175.0,16.39344262295082
12,7,27,0.161,175.0,6.211180124223603
13,8,9,0.165,175.0,6.0606060606060606
14,8,10,0.165,175.0,6.0606060606060606
15,9,11,0.084,400.0,11.904761904761903
16,9,12,0.084,400.0,11.904761904761903
17,10,11,0.084,400.0,11.904761904761903
18,10,12,0.084,400.0,11.904761904761903
19,11,13,0.048,500.0,20.833333333333332
20,11,14,0.042,500.0,23.809523809523807
21,12,13,0.048,500.0,20.833333333333332
22,12,23,0.09699999999999999,500.0,10.309278350515465
23,13,23,0.087,500.0,11.49425287356322
24,13,39,0.075,500.0,13.333333333333334
25,14,16,0.059000000000000004,500.0,16.94915254237288
26,15,16,0.017,500.0,58.8235294117647
27,15,21,0.049,500.0,20.408163265306122
28,15,21,0.049,500.0,20.408163265306122
29,15,24,0.052000000000000005,500.0,19.23076923076923
30,16,17,0.026000000000000002,500.0,38.46153846153846
31,16,19,0.023,500.0,43.47826086956522
32,17,18,0.013999999999999999,500.0,71.42857142857143
33,17,22,0.105,500.0,9.523809523809524
34,18,21,0.026000000000000002,500.0,38.46153846153846
35,18,21,0.026000000000000002,500.0,38.46153846153846
36,19,20,0.04,500.0,25.0
37,19,20,0.04,500.0,25.0
38,20,23,0.022000000000000002,500.0,45.45454545454545
39,20,23,0.022000000000000002,500.0,45.45454545454545
40,21,22,0.068,500.0,14.705882352941176
41,23,41,0.07400000000000001,500.0,13.513513513513512
42,25,26,0.013999999999999999,175.0,71.42857142857143
43,25,27,0.21100000000000002,175.0,4.7393364928909945
44,25,29,0.085,175.0,11.76470588235294
45,26,28,0.127,175.0,7.874015748031496
46,26,30,0.192,175.0,5.208333333333333
47,27,33,0.11900000000000001,175.0,8.403361344537814
48,27,48,0.084,400.0,11.904761904761903
49,28,33,0.10400000000000001,175.0,9.615384615384615
50,29,34,0.08800000000000001,175.0,11.363636363636363
51,30,34,0.061,175.0,16.39344262295082
52,31,32,0.061,175.0,16.39344262295082
53,32,33,0.165,175.0,6.0606060606060606
54,32,34,0.165,175.0,6.0606060606060606
55,33,35,0.084,400.0,11.904761904761903
56,33,36,0.084,400.0,11.904761904761903
57,34,35,0.084,400.0,11.904761904761903
58,34,36,0.084,400.0,11.904761904761903
59,35,37,0.048,500.0,20.833333333333332
60,35,38,0.042,500.0,23.809523809523807
61,36,37,0.048,500.0,20.833333333333332
62,36,47,0.09699999999999999,500.0,10.309278350515465
63,37,47,0.087,500.0,11.49425287356322
64,38,40,0.059000000000000004,500.0,16.94915254237288
65,39,40,0.017,500.0,58.8235294117647
66,39,45,0.049,500.0,20.408163265306122
67,39,45,0.049,500.0,20.408163265306122
68,39,48,0.052000000000000005,500.0,19.23076923076923
69,40,41,0.026000000000000002,500.0,38.46153846153846
70,40,43,0.023,500.0,43.47826086956522
