,from,to,x,Pmax,Suscep
1,31,266,0.00045999999999999996,9900.0,2173.913043478261
2,266,270,0.0034799999999999996,8215.0,287.3563218390805
3,266,271,0.43682,68.0,2.289272469209285
4,266,273,0.64898,46.0,1.5408795340380288
5,270,292,0.37485999999999997,79.0,2.667662594035107
6,270,293,0.37485999999999997,79.0,2.667662594035107
7,270,294,0.38045999999999996,78.0,2.6283972033853757
8,270,295,0.152,193.0,6.578947368421053
9,270,296,0.8,37.0,1.25
10,271,272,0.24666,117.0,4.054163626043947
11,271,268,0.49332,59.0,2.0270818130219737
12,271,268,0.49332,59.0,2.0270818130219737
13,273,267,0.43286,67.0,2.310215774153306
14,273,267,0.43286,67.0,2.310215774153306
15,267,274,0.07026,332.0,14.232849416453174
16,274,276,0.95278,21.0,1.0495602342618444
17,274,275,2.8152,11.0,0.3552145495879511
18,267,277,3.2202,9.0,0.310539718029936
19,276,278,3.944,8.0,0.2535496957403651
20,276,279,3.6152,8.0,0.2766098694401416
21,272,297,2.9668,10.0,0.3370635027639207
22,272,298,2.057,15.0,0.48614487117160915
23,272,268,0.24666,116.0,4.054163626043947
24,268,280,4.6724,7.0,0.21402277202294326
25,268,281,4.8846,6.0,0.20472505425213938
26,268,282,4.8056,7.0,0.20809056101215248
27,268,291,0.06352000000000001,302.0,15.74307304785894
28,291,269,0.028939999999999997,611.0,34.554250172771255
29,269,288,2.456,12.0,0.40716612377850164
30,269,289,5.4536,6.0,0.18336511662021418
31,269,290,1.6994,18.0,0.5884429798752501
32,268,283,1.3912,21.0,0.718803910293272
33,268,284,3.4572,9.0,0.2892514173319449
34,268,285,1.6729,18.0,0.59776436128878
35,268,286,2.5712,12.0,0.3889234598630989
36,268,287,2.9668,10.0,0.3370635027639207
37,273,299,0.99036,29.0,1.0097338341613151
38,294,300,0.75,40.0,1.3333333333333333
39,1,5,0.006,4823.0,166.66666666666666
40,2,6,0.009000000000000001,3240.0,111.1111111111111
41,2,8,0.027000000000000003,1061.0,37.03703703703703
42,3,7,0.003,9778.0,333.3333333333333
43,3,18,0.069,423.0,14.492753623188404
44,3,129,0.006999999999999999,4149.0,142.85714285714286
45,4,16,0.019,1536.0,52.631578947368425
46,5,9,0.028999999999999998,991.0,34.48275862068966
47,7,12,0.009000000000000001,3240.0,111.1111111111111
48,7,110,0.006999999999999999,4149.0,142.85714285714286
49,8,11,0.0595,482.0,16.80672268907563
50,8,14,0.042,668.0,23.809523809523807
51,9,11,0.027000000000000003,1061.0,37.03703703703703
52,11,13,0.034,840.0,29.41176470588235
53,12,20,0.015,1939.0,66.66666666666667
54,13,19,0.034,850.0,29.41176470588235
55,14,15,0.042,663.0,23.809523809523807
56,15,31,0.248,115.0,4.032258064516129
57,15,74,0.248,110.0,4.032258064516129
58,15,75,0.363,79.0,2.7548209366391188
59,16,36,0.022000000000000002,1328.0,45.45454545454545
60,18,20,0.018000000000000002,1620.0,55.55555555555555
61,18,72,0.08,362.0,12.5
62,19,21,0.033,800.0,30.3030303030303
63,19,26,0.18600000000000003,148.0,5.376344086021505
