,bus,Pmax,Pmin,c2,c1,c0
1,69,1448,0,0,22.409835,0
2,76,185,0,0,46.100054,0
3,77,360,0,0,54.164939,0
4,80,93,0,0,27.238416,0
5,88,197,0,0,38.430722,0
6,98,2041,0,0,7.698908,0
7,103,321,0,0,26.754128,0
8,120,297,0,0,30.597916,0
9,122,800,0,0,30.758666,0
10,125,91,0,0,19.292281,0
11,126,320,0,0,49.861855,0
12,128,277,0,0,35.842363,0
13,131,606,0,0,34.955965,0
14,132,242,0,0,22.762722,0
15,149,330,0,0,35.375974,0
16,155,278,0,0,33.868524,0
17,156,125,0,0,29.031265,0
18,164,250,0,0,28.391517,0
19,165,2465,0,0,1.000203,0
20,166,1624,0,0,27.278538,0
21,169,515,0,0,49.15571,0
22,170,2140,0,0,24.062655,0
23,177,430,0,0,31.016664,0
24,192,288,0,0,49.721799,0
25,199,460,0,0,21.291665,0
26,200,554,0,0,31.437031,0
27,201,523,0,0,50.842869,0
28,206,436,0,0,28.01046,0
29,209,458,0,0,39.828572,0
30,212,341,0,0,35.650779,0
31,215,881,0,0,32.621266,0
32,217,267,0,0,39.657688,0
33,218,621,0,0,41.223312,0
34,220,1127,0,0,39.064721,0
35,221,212,0,0,116.939409,0
36,222,342,0,0,34.336562,0
37,247,568,0,0,38.274878,0
38,248,670,0,0,23.466762,0
39,249,1401,0,0,7.509959,0
40,250,668,0,0,26.682965,0
41,251,626,0,0,28.434868,0
42,252,490,0,0,35.126651,0
43,253,220,0,0,51.062397,0
44,254,543,0,0,29.992015,0
45,255,580,0,0,103.987496,0
46,256,132,0,0,38.825689,0
47,257,718,0,0,6.843072,0
48,258,158,0,0,29.772562,0
49,259,334,0,0,62.427103,0
50,260,1757,0,0,20.811515,0
51,261,568,0,0,26.50789,0
52,262,203,0,0,31.587517,0
53,263,1726,0,0,29.759924,0
54,264,2025,0,0,36.179055,0
55,265,624,0,0,36.908367,0
56,295,84,0,0,32.961473,0
57,296,37,0,0,94.758209,0
