,pred
1,90.0
2,56.0
3,20.0
4,0.0
5,353.0
6,120.0
7,0.0
8,63.0
9,96.0
10,153.0
11,83.0
12,0.0
13,58.0
14,160.0
15,126.7
16,0.0
17,561.0
18,0.0
19,605.0
20,77.0
21,81.0
22,21.0
23,0.0
24,45.0
25,28.0
26,69.0
27,55.0
28,0.0
29,0.0
30,0.0
31,85.0
32,155.0
33,0.0
34,46.0
35,86.0
36,0.0
37,39.0
38,195.0
39,0.0
40,0.0
41,58.0
42,41.0
43,92.0
44,-5.0
45,61.0
46,69.0
47,10.0
48,22.0
49,98.0
50,14.0
51,218.0
52,0.0
53,227.0
54,0.0
55,70.0
56,0.0
57,0.0
58,56.0
59,116.0
60,57.0
61,224.0
62,0.0
63,208.0
64,74.0
65,0.0
66,48.0
67,28.0
68,0.0
69,37.0
70,0.0
71,0.0
72,0.0
73,0.0
74,44.2
75,66.0
76,17.4
77,15.8
78,60.3
79,39.9
80,66.7
81,83.5
82,0.0
83,77.8
84,32.0
85,8.6
86,49.6
87,4.6
88,112.1
89,30.7
90,63.0
91,19.6
92,26.2
93,18.2
94,0.0
95,0.0
96,0.0
97,14.1
98,0.0
99,777.0
100,535.0
101,229.1
102,78.0
103,276.4
104,514.8
105,57.9
106,380.8
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,169.2
115,55.2
116,273.6
117,1019.2
118,595.0
119,387.7
120,145.0
121,56.5
122,89.5
123,0.0
124,24.0
125,0.0
126,0.0
127,63.0
128,0.0
129,0.0
130,0.0
131,17.0
132,0.0
133,70.0
134,200.0
135,75.0
136,123.5
137,0.0
138,33.0
139,0.0
140,35.0
141,85.0
142,0.0
143,0.0
144,0.0
145,0.0
146,299.9
147,0.0
148,0.0
149,481.8
150,763.6
151,26.5
152,163.5
153,0.0
154,176.0
155,5.0
156,28.0
157,427.4
158,74.0
159,69.5
160,73.4
161,240.7
162,40.0
163,136.8
164,0.0
165,59.8
166,59.8
167,182.6
168,7.0
169,0.0
170,489.0
171,800.0
172,0.0
173,0.0
174,0.0
175,10.0
176,43.0
177,64.0
178,35.0
179,27.0
180,41.0
181,38.0
182,42.0
183,72.0
184,0.0
185,12.0
186,-21.0
187,7.0
188,38.0
189,0.0
190,96.0
191,0.0
192,0.0
193,22.0
194,47.0
195,176.0
196,100.0
197,131.0
198,0.0
199,285.0
200,171.0
201,328.0
202,428.0
203,173.0
204,410.0
205,0.0
206,538.0
207,223.0
208,96.0
209,0.0
210,159.0
211,448.0
212,404.0
213,572.0
214,269.0
215,0.0
216,0.0
217,255.0
218,0.0
219,0.0
220,0.0
221,0.0
222,8.0
223,0.0
224,61.0
225,77.0
226,61.0
227,29.0
228,29.0
229,-23.0
230,-33.1
231,115.8
232,2.4
233,2.4
234,-14.9
235,24.7
236,145.3
237,28.1
238,14.0
239,-11.1
240,50.5
241,29.6
242,-113.7
243,100.31
244,-100.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,4.2
268,2.71
269,0.86
270,0.0
271,0.0
272,0.0
273,0.0
274,4.75
275,1.53
276,0.0
277,1.35
278,0.45
279,0.45
280,1.84
281,1.39
282,1.89
283,1.55
284,1.66
285,3.03
286,1.86
287,2.58
288,1.01
289,0.81
290,1.6
291,0.0
292,35.81
293,30.0
294,26.48
295,0.0
296,0.0
297,1.02
298,1.02
299,3.8
300,1.19
