,from,to,x,Pmax,Suscep
1,1,2,0.027999999999999997,1005,35.714285714285715
2,2,3,0.085,326,11.76470588235294
3,3,4,0.0366,767,27.3224043715847
4,4,5,0.132,201,7.575757575757575
5,4,6,0.14800000000000002,191,6.756756756756756
6,6,7,0.102,283,9.803921568627452
7,6,8,0.17300000000000001,167,5.780346820809248
8,8,9,0.0505,570,19.801980198019802
9,9,10,0.1679,171,5.955926146515783
10,9,11,0.0848,331,11.79245283018868
11,9,12,0.295,98,3.3898305084745766
12,9,13,0.158,178,6.329113924050633
13,13,14,0.0434,647,23.04147465437788
14,13,15,0.0869,323,11.507479861910241
15,1,15,0.091,317,10.989010989010989
16,1,16,0.20600000000000002,140,4.854368932038835
17,1,17,0.10800000000000001,266,9.259259259259258
18,3,15,0.053,530,18.867924528301888
19,4,18,0.555,53,1.8018018018018016
20,4,18,0.43,69,2.3255813953488373
21,5,6,0.0641,414,15.600624024960997
22,7,8,0.0712,405,14.04494382022472
23,10,12,0.1262,228,7.923930269413629
24,11,13,0.0732,384,13.66120218579235
25,12,13,0.057999999999999996,484,17.24137931034483
26,12,16,0.0813,353,12.300123001230013
27,12,17,0.179,160,5.58659217877095
28,14,15,0.0547,512,18.281535648994517
29,18,19,0.685,36,1.4598540145985401
30,19,20,0.434,57,2.3041474654377883
31,21,20,0.7767,38,1.2874983906270119
32,21,22,0.11699999999999999,213,8.547008547008547
33,22,23,0.0152,1617,65.78947368421052
34,23,24,0.256,97,3.90625
35,24,25,1.182,25,0.8460236886632826
36,24,25,1.23,24,0.8130081300813008
37,24,26,0.0473,621,21.14164904862579
38,26,27,0.254,97,3.937007874015748
39,27,28,0.0954,259,10.482180293501049
40,28,29,0.0587,408,17.035775127768314
41,7,29,0.0648,453,15.4320987654321
42,25,30,0.20199999999999999,121,4.9504950495049505
43,30,31,0.49700000000000005,50,2.0120724346076457
44,31,32,0.755,33,1.3245033112582782
45,32,33,0.036000000000000004,552,27.777777777777775
46,34,32,0.953,31,1.0493179433368311
47,34,35,0.078,313,12.820512820512821
48,35,36,0.0537,427,18.6219739292365
49,36,37,0.0366,629,27.3224043715847
50,37,38,0.1009,245,9.910802775024777
51,37,39,0.0379,655,26.38522427440633
52,36,40,0.0466,530,21.459227467811157
53,22,38,0.0295,834,33.898305084745765
54,11,41,0.7490000000000001,40,1.3351134846461947
55,41,42,0.35200000000000004,72,2.840909090909091
56,41,43,0.41200000000000003,72,2.4271844660194173
57,38,44,0.0585,450,17.094017094017094
58,15,45,0.1042,282,9.596928982725528
59,14,46,0.0735,400,13.60544217687075
60,46,47,0.068,409,14.705882352941176
61,47,48,0.0233,993,42.918454935622314
62,48,49,0.129,191,7.751937984496124
63,49,50,0.128,195,7.8125
64,50,51,0.22,113,4.545454545454546
65,10,51,0.0712,412,14.04494382022472
66,13,49,0.191,154,5.2356020942408374
67,29,52,0.187,125,5.347593582887701
68,52,53,0.0984,236,10.16260162601626
69,53,54,0.23199999999999998,99,4.310344827586207
70,54,55,0.2265,103,4.415011037527593
71,11,43,0.153,192,6.5359477124183005
72,44,45,0.1242,212,8.051529790660226
73,40,56,1.195,25,0.8368200836820083
74,56,41,0.5489999999999999,38,1.8214936247723135
75,56,42,0.354,72,2.824858757062147
76,39,57,1.355,22,0.7380073800738007
77,57,56,0.26,94,3.846153846153846
78,38,49,0.177,139,5.649717514124294
79,38,48,0.0482,511,20.74688796680498
80,9,55,0.1205,244,8.298755186721992
